"name","gender"
"Louis Hugo","Male"
"Louis Philippe","Male"
"Louis XVIII","Male"
"M. Géborand","Male"
"M. Le Duc de Rohan","Male"
"M. Paër","Male"
"M. Piet","Male"
"M. Saint John","Male"
"M. de Quélen","Male"
"M. le Cardinal Fesch","Male"
"M. le Duc d’Angoulême","Male"
"Ma'am Bougon","Female"
"Madame Barthélemy-Hadot","Female"
"Madame Boischevron","Female"
"Madame Bournon-Malarme","Female"
"Madame Fabantou","Female"
"Madame Victurnien","Female"
"Madame de Lô","Female"
"Madame de Scudéri","Female"
"Madame la Marquise de Grucheray","Female"
"Mademoiselle de Saint-Aulaire","Female"
"Magnon","Male"
"Maitland","Male"
"Mallet","Male"
"Marie d’Orleans","Female"
"Marquis de Champtercier","Male"
"Masker 1","Unknown"
"Maupetit","Male"
"Michel","Male"
"Minister of the Interior","Male"
"Miss Dahlia","Female"
"Mitchell","Male"
"Monasticism","Unknown"
"Monsieur Fabantou","Male"
"Montparnasse","Male"
"Morand","Male"
"Municipal Guards","Unknown"
"Nassau","Male"
"National Guards","Unknown"
"National Guard","Unknown"
"No one","Unknown"
"Officers","Male"
"Old man","Male"
"Ompteda","Male"
"Palafox","Male"
"Patron-Minette","Unknown"
"Pigault-Lebrun","Male"
"Ponine","Female"
"Poret de Morvan","Male"
"President of Court of Assizes","Male"
"Public writer","Unknown"
"Quiot","Male"
"Sallé","Male"
"Sirven","Male"
"Sister Perpétue","Female"
"Tholomyès","Male"
"Uxbridge","Male"
"Wellington","Male"
"his daughter","Female"
"Toussaint","Male"
"Sergeant","Male"
"Nicolette","Female"
"Portress","Female"
"Yellow man","Male"
"Zéphine","Female"
"Marguerite","Female"
"Sister Simplice","Female"
"Guelemer","Male"
"Théodule","Male"
"Sister","Female"
"Ney","Male"
"Thénard","Male"
"Ursule","Female"
"Wife","Female"
"Fantine","Female"
"M. Larose","Male"
"M. de Metz","Male"
"God","Unknown"
"Philintus","Male"
"Her little boy","Male"
"Marshal Clausel","Male"
"Masker 2","Unknown"
"Gueulemer","Male"
"Lesgle/L’Aigle","Male"
"Eugène Sue","Male"
"Hairy one","Unknown"
"Muffling","Male"
"Hudson Lowe","Male"
"Montchenu","Male"
"Thrones","Unknown"
"Guignon","Male"
"President","Male"
"Lobau","Male"
"Café Valois","Unknown"
"Voltaire","Male"
"Imperial guards","Male"
"Roman peasant","Male"
"Man-condemned","Male"
"M. Pilorge","Male"
"Mistress","Female"
"Madame Cottin","Female"
"M. de Port-de-Guy","Male"
"Duc d’Angoulême","Male"
"Talavera","Unknown"
"Representative","Male"
"Saint Jerome","Male"
"Soliman-Pasha","Male"
"Condorcet","Male"
"Madame Courtin","Female"
"Father","Male"
"Mademoiselle So-and-So","Female"
"Mariu","Unknown"
"Passer-by","Male"
"Traveller","Unknown"
"Mademoiselle Lanoire","Female"
"Touquet Charter","Unknown"
"Priest-condemned","Male"
"Pompey","Male"
"Trogoff","Male"
"Louvel","Male"
"Pope Pius VII","Male"
"Vicomte d’Escoubleau","Male"
"Young girls","Female"
"Servants' hall","Unknown"
"Future","Unknown"
"Soult","Male"
"Insurgents","Male"
"Le Cabuc","Male"
"M. Clermont-Tonnerre","Male"
"National Guardsman","Male"
"Officer","Male"
"Prouvaire","Male"
"Robespierre","Male"
"Marchangy","Male"
"Servant-maid","Female"
"Mathurin Regnier","Male"
"Natoire","Male"
"Favourite's father","Male"
"Polybius","Male"
"Roguet","Male"
"Marius","Male"
"Father Dufresne","Male"
"Jérôme","Male"
"Strafford","Male"
"René de Chateaubriand","Male"
"Marquis de Saint-Chamand","Male"
"Lefebvre","Male"
"Vandermeulen","Male"
"Bobby","Male"
"Horace","Male"
"De Meaux","Male"
"Charité","Female"
"Julius II","Male"
"Vive Henri IV","Unknown"
"Arsène Hoche","Male"
"Mademoiselle Lorrain","Female"
"M. de Scaufflaire","Male"
"Jehan Prouvaire","Male"
"Almoner Magnon","Male"
"Philosophy","Unknown"
"Mother","Female"
"Poor","Unknown"
"Brother","Male"
"Éponine","Female"
"Ex-convict","Male"
"Bishop","Male"
"Jondrette","Male"
"Fabantou","Male"
"Thénardier","Male"
"Mother Thénardier","Female"
"Azelma","Female"
"Madeleine","Male"
"Thénardier","Male"
"Doctor","Male"
"Revolutionary","Male"
"Cochepaille","Male"
"Chenildieu","Male"
"Brevet","Male"
"Mayor","Male"
"Sister Simplice","Female"
"M. Gillenormand","Male"
"Colonel Baron Pontmercy","Male"
"Marius","Male"
"Mademoiselle Gillenormand","Female"
"M. Gillenormand","Male"
"Madame de T.","Female"
"Thénardier","Male"
"Babet","Male"
"Gueulemer","Male"
"Claquesous","Male"
"Montparnasse","Male"
"Marius","Male"
"Enjolras","Male"
"Courfeyrac","Male"
"Joly","Male"
"Grantaire","Male"
"Lesgle","Male"
"Feuilly","Male"
"Prouvaire","Male"
"Combeferre","Male"
"Bahorel","Male"
"Bossuet","Male"
"Angeolras","Male"
"Mademoiselle Gillenormand","Female"
