MUSEUMID,SITENAME,VESSELNAME,OTHERNAMES,PROTECTED,NMREGNR,NHBDBID,OPERATOROWNER,ORIGIN,LAUNCHEDY,PERIODC,VESSELTYPE,PURPOSE,PROPULSION,LENGTHM,BEAMM,DRAFTHEIGHTM,TONNAGEBRT,DISPLACEMENTT,CREW,PHYSICALDESCRIPTION,BIOGRAPHY,LASTFLAG,LASTCAPTAIN,LASTVOYAGE,DATEOFDEPARTURE,PORTOFDEPARTURE,DESTINATION,CARGO,TASK,WRECKED,LATITUDE,LONGITUDE,ALTERNATIVELAT,ALTERNATIVELONG,COORDINATEACCURACY,LOCATIONDESCRIPTION,SHIPWRECKINGCAUSE,SHIPWRECKINGY,DEPTHM,TOPONYM,LOCATIONTYPE,STORYOFSHIPWRECKING,EXTENTOFPRESERVATION,POSITIONONSEABED,DAMAGES,DISCOVERYY,DISCOVERER,STORYOFDISCOVERY,OBJECTSRECOVERED,MUIS,REPORTS,SONARIMAGES,OTHERSOURCES,MARKERICON,ICONMUSEUMID,TEXT
153,AF-32,AF-32,AFP-32,ei,,,,Saksamaa,,20. sajand,puksiir,abilaev,,,,,280,,,,20.06.1944 - laevahukk,Saksa,,,,,,,,jah,,,,,,,,1944,,Narva,rannikulähedane,"Hukkus lennukipommi tabamusest, leidmata.",,,,,,,,,,,A92 lk.344,w_blue,wht_circle,"AF-32 (AFP-32), Raj.I -  , Saksa puksiir, 280 BRT, hukkus lennukipommi tabamusest Narvas 20.06.1944.a. Leidmata. (A92 lk.344)"
2462,Kolõma,Kolõma,,ei,,,,Venemaa,,20. sajand,puksiir,abilaev,,,,,,,,,"28.-29.08.1941 - laevahukk, Juminda miiniväli",,,,,,,,,jah,,,,,,Juminda miiniväli,,1941,,Juminda miiniväli,miiniväli,,,,,,,Leidmata.,ei,,,,A1; A324,w_blue,red_circle,"Kolõma, Raj. II -  , Vene puksiir, hukkus Juminda miiniväljal 28.-29. augustil 1941.a. Leidmata.(A1; A324)"
2467,KP-18,KP-18,,ei,,,,,,20. sajand,puksiir,abilaev,,,,,,,,,28.-29.08.1941 - laevahukk,,,,,,,,,jah,,,,,,Juminda miiniväli. Praegune asukoht teadmata,,1941,,Juminda miiniväli,miiniväli,Hukkus Juminda miiniväljal 28.-29. augustil 1941.a.,,,,,,Leidmata,ei,,,,A324,w_blue,red_circle,"KP-18 Raj. II -  , puksiir, hukkus Juminda miiniväljal 28.-29. augustil 1941.a. Leidmata.(A324)"
3158,Liivi,Liivi,,ei,,,,,,,puksiir,abilaev,,,,,80,,,,,,,,,,,,,jah,,,,,,Kopli laht,,,,Kopli laht,laht,Uppunud Kopli lahes,,,,,,Täpsem info puudub,ei,,,,,w_blue,purple_circle,"Liivi, Raj. III - , puksiir mahutavusega 80 brt, uppunud Kopli lahes. Täpsem info puudub. (A Päästeühingu “Ankur” info “Andmed eesti territoriaalvetes hukkunud ja randunud ujuvabinõude kohta”."
755,Lootskomandör Jürgenson,Lootskomandör Jürgenson,,ei,,,,,1910,20. sajand,puksiir,abilaev,aurulaev,19.81,5.79,,51.51,,,,"1910 - ehitamine
12.03.1917 - laevahukk",,,Virtsu-Riia,,Virtsu,Riia,,,jah,,,,,,Abruka paralleelil ligikaudu 8 miili ? Viirelaiust S pool,jää,1917,,Viirelaid,saarelähedane,"Uppus jää surve tõttu 12.03.1917.a. teel Virtsust Riiga (Abruka paralleelil), ligikaudu 8 miili (?) Viirelaiust S pool, lebab 14 sülla sügavusel. Asukoht teadmata.",,,,,,Asukoht teadmata,ei,,,,"A76, A87",w_blue,grn_circle,"Lootskomandör Jürgenson, Raj. VII -  , aurupuksiir, ehit. 1910.a.,  51,51 BRT, L=19,81 m  B=5,79 m. Uppus jää surve tõttu 12.03.1917.a. teel Virtsust Riiga (Abruka paralleelil), ligikaudu 8 miili (?) Viirelaiust S pool, lebab 14 sülla sügavusel. Asukoht teadmata. (A76, A87)"
2473,LP-5,LP-5,,ei,,,,,,20. sajand,puksiir,abilaev,,,,,,,,,28.08.1941 - laevahukk,,,,,,,,,jah,,,,,,Juminda miinivälja lääneserv,miin,1941,,Juminda miiniväli,miiniväli,Hukkus 28. augustil 1941.a. Juminda miinivälja lääneserval.,,,,,,Leidmata,ei,,,,A324,w_blue,red_circle,"LP-5, Raj. II -  , puksiir, hukkus 28. augustil 1941.a. Juminda miinivälja lääneserval. Leidmata. (A324)"
242,Puks,,,ei,,,,,,,puksiir,abilaev,,26.00 ?,5.00 ?,,,,,,,,,,,,,,,jah,59.4346,24.657,,,,Kopli laht,,,,Kopli laht,laht,,,,,,,"Nähtav aerofotolt, põgusalt uuritud",ei,,,,B Ossiptšuk,w_blue,red_circle,"Puks, Raj. II – , tundmatu puksiir Kopli lahes, koordinaatides 59*26,0760´N; 24*39,4200´E mõõtudega ligikaudu 26 x 5 meetrit. Nähtud aerofotolt. Põgusalt uuritud. (B Ossiptšuk)"
3172,Puksiir,,"MБ-19 ?, MБ-68 ?",ei,,,,,,20. sajand,puksiir,abilaev,aurulaev,,,,,,,,1972 - kasutamine märklauana,,,,,,,,,jah,,,,,,Suur-Pakri NO rannas,,,,Suur-Pakri,saarelähedane,Kasutati märklauana 1972.a. Meri on vraki täiesti purustanud.,,,,,,,ei,,,,"A17 lk.458. A33 lk.116, foto",w_blue,purple_circle,"Puksiir (MБ-19 ?, MБ-68 ?), Raj. III -   , aurupuksiir, Suur-Pakri NO rannas. Kasutati märklauana 1972.a. Meri on vraki täiesti purustanud. (A17 lk.458. A33 lk.116, foto)"
2448,Jupiter,Jupiter,"Assistant, Karin",ei,,,,Soome,1882,19. sajand,vahilaev,,,27.21,5.88,,89.79,,,"Vene vahilaev, endine Balti Päästseltsi puksiir-päästelaev","1882- ehitamine, Soome, Varkaus
08.10.1940 - natsionaliseerimine
21.02.1941 - üleviimine Balti laevastiku piirivalvelaevade flotilli
22.06.1941 - üleviimine Balti laevastiku operatiivalluvusse
28.-29.08.1941 - laevahukk, Juminda miiniväli",,,,,,,,,jah,,,,,,Juminda miiniväli,,1941,,Juminda miiniväli,miiniväli,28.-29. augustil 1941.a. hukkus Juminda miiniväljal,,,,,,Leidmata,ei,,,,(A1; A324 foto),w_blue,red_circle,"Jupiter (ex Assistant, Karin), Raj. II -  , Vene vahilaev, endine Balti Päästseltsi puksiir-päästelaev, ehit. Soomes,Varkauses 1882.a., 89,79 BRT, pikkus 27,21 ja laius 5,88 meetrit. 8.10.1940.a. natsionaliseeriti ja 21.021941.a. viidi üle Balti laevastiku piirivalvelaevade flotilli. 22.06.1941.a. viidi üle Balti laevastiku operatiivalluvusse. 28.-29. augustil 1941.a. hukkus Juminda miiniväljal. Leidmata. (A1; A324 foto)"
2472,Lots.bot nr.3,Lots.bot nr.3,,ei,,,,Venemaa,1772,18. sajand,,abilaev,,,,,,,,Vene lootsilaev,"1772-1773 - ehitamine, Olonetsi laevatehas, Venemaa
1773-1782 - hüdrograafilised mõõdistamised Soome lahes
1782 - korraldus abistada Naissaare madalale sattunud Inglise laeva
11.11.1782 - laevahukk",,,,,,,,,jah,,,,,,Naissaare lähistel,pagi,1782,,Naissaar,kivid,"1782 saadeti abistama Naissare madalale sattunud Inglise laeva. 11. nov.1782 heideti pagiga Naissaare juures kividele, kus purunes. I hukkunu. Laevahukukoht teadmata.",,,,,,Asukoht teadmata,ei,,,,,w_blue,red_circle,"Lots.bot nr.3, Raj. II -  , Vene lootsilaev, ehit. Olonetsi laevatehases 1772-1773, tegeles aastail 1773-1782 hüdrograafiliste mõõditamistega Soome lahes. 1782 saadeti abistama Naissare madalale sattunud Inglise laeva. 11. nov.1782 heideti pagiga Naissaare juures kividele, kus purunes. I hukkunu. Laevahukukoht teadmata. (A Lutt"
2396,Ankur 5,,,ei,,,,,,,ankur,ankur,,,,,,,,"Admiraliteediankur. Üldpikkus 370 cm, käpa pikkus 177 cm. Säär kõver. Rauast risttugi murdunud.","sügis 1998 - avastamine, Tallinna Vanasadam",,,,,,,,,üles tõstetud,,,,,,Tallinna Vanasadama bassein nr.1 (kai nr.5 nurga sees),,,,Tallinna Vanasadam,sadam,,,,Seisukord väga hea,1998,,Leitud Tallinna Vanasadama süvendustööde käigus basseinist nr.1 (kai nr.5 nurga seest) 1998.a. sügisel.,,,,,"videofilm, foto",marina,red_circle,"Ankur 5, Raj. II - , leitud Tallinna Vanasadama süvendustööde käigus basseinist nr.1 (kai nr.5 nurga seest) 1998.a. sügisel. Admiraliteediankur. Üldpikkus 370 cm, käpa pikkus 177 cm. Säär kõver. Rauast risttugi murdunud. Seisukord väga hea. Asub Tallinna Vanasadamas. (videofilm, foto)"
364,Ankur Victory,,,ei,,,,Venemaa,,18. sajand,ankur,ankur,,,,,,,,"Kahekäpaline puidust risttoega Vene (?) laevaankur. Kaheldava täpsusega mõõdistatult leiti ankru sääre pikkuseks 214 cm ja risttoe pikkuseks 277 cm. Käppade laiuseks ligikaudu 1,5 meetrit.","veebruar 2015 - avastamine, Pakri
5.02.2015 - transport Miiduranna sadamasse
14.02.2015 - mõõdistamine",,,,,,,,,üles tõstetud,59.4175,24.0333,,,ligikaudne,Pakri poolsaare tipus asuva madala NW pardas,,,,Pakri poolsaar,madal,,,,,2015,"Kalatraaler ""Victory"" meeskond","Sattus 2015.a. veebruaris Pakri poolsaare tipus asuva madala NW pardas kalatraaleri „Victory“ traali ligikaudses asukohas 59*25,05´N; 24*02,00´E ja 5.02.2015 toodi Miiduranna sadamasse. Uputati Lennusadamasse. Mõõdistasid T.Saar ja Muinsuskaitseametist Maili Roio 14.02.2015.a.",jah,,,,"B R.Ristimägi, Novosjolov, fotod",marina,purple_circle,"Ankur (töönimi Victory) Raj. III - , arvatavalt 18. saj. kahekäpaline puidust risttoega Vene (?) laevaankur, sattus 2015.a. veebruaris Pakri poolsaare tipus asuva madala NW pardas kalatraaleri „Victory“ traali ligikaudses asukohas 59*25,05´N; 24*02,00´E (tundm.)ja 5.02.2015 toodi Miiduranna sadamasse. Kaheldava täpsusega mõõdistatult leiti ankru sääre pikkuseks 214 cm ja risttoe pikkuseks 277 cm. Käppade laiuseks ligikaudu 1,5 meetrit. Uputati Lennusadamasse. Mõõdistasid T.Saar ja Muinsuskaitseametist Maili Roio 14.02.2015.a. (B R.Ristimägi, Novosjolov, fotod)"
3141,Ankur 17,,,ei,,,,,,,ankur,ankur,,,,,,,,"Kahekäpaline puustokiga ankur. Ankru üldpikkus 3200 mm, sääre pikkus 2530 mm, käpa pikkus 1500 mm, küüne pikkus 600 mm ja laius 550 mm. Stoki pikkus 3600 mm, stoki laius 280 mm, rõnga välisdiameeter koos punutisega 550 mm ja sisemine diameeter 430 mm.","2004 - väljatraalimine, Naissaar",,,,,,,,,üles tõstetud,,,,,,Naissaare W külg,,,,Naissaar,saarelähedane,,,,Väga heas seisukorras,2004,"Traallaev ""Viikari"" meeskond",Traallaev “Viikari” poolt 2004.a. jaanuaris Naissaare W küljelt traaliga ülestõstetud. Asub Leopold Garderi valduses.,jah,,,,"B Mathiesen, Garder",marina,purple_circle,"Ankur 17, Raj. III -  , traallaev “Viikari” poolt 2004.a. jaanuaris Naissaare W küljelt traaliga ülestõstetud kahekäpaline puustokiga ankur, väga heas seisukorras. Ankru üldpikkus 3200 mm, sääre pikkus 2530 mm, käpa pikkus 1500 mm, küüne pikkus 600 mm ja laius 550 mm. Stoki pikkus 3600 mm, stoki laius 280 mm, rõnga välisdiameeter koos punutisega 550 mm ja sisemine diameeter 430 mm. Asub Leopold Garderi valduses. (B Mathiesen, Garder)"
149,Ankur 14,,,ei,,,,,,,ankur,ankur,,,,,,,,Kahekäpaline raudankur,"1987 - avastamine, Suursaar",,,,,,,,,üles tõstetud,,,,,,"Hirskallio, Suursaar",,,,Suursaar,saarelähedane,,,,,1987,,"Leitud 1987.a. Suursaare rannaveest, Hirskallio lähistelt. Asub Meremuuseumis.",jah,,,,B Mäss,marina,wht_circle,"Ankur 14, Raj. I -   , kahekäpaline raudankur, leitud 1987.a. Suursaare rannaveest, Hirskallio lähistelt. Asub Meremuuseumis. (B Mäss)"
150,Ankur 15,,,ei,,,,,,,ankur,ankur,,,,,,,,Kahekäpaline raudankur,"1987 - avastamine, Suursaar",,,,,,,,,üles tõstetud,,,,,,"Kipparniemi, Suursaar",,,,Suursaar,saarelähedane,,,,,1987,,"Leitud 1987.a. Suursaare rannaveest, Kipparniemi lähistelt. Asub Meremuuseumis.",jah,,,,"B Mäss, foto",marina,wht_circle,"Ankur 15, Raj. I -   , kahekäpaline raudankur, leitud 1987.a. Suursaare rannaveest, Kipparniemi lähistelt. Asub Meremuuseumis. (B Mäss, foto)"
2395,Ankur 4,,,ei,,,,,,,ankur,ankur,,,,,,,,Kahekäpaline raudankur,,,,,,,,,,jah,,,,,,"Aegna saare W küljel, Punakivikari vrakist ca 130 m S pool",,,,Aegna,saarelähedane,,,,,,,"Leitud Aegna saare W küljel, Punakivikari vrakist ca 130 m S pool. Asub meres omal kohal, mõõdistamata, dokumenteerimata.",ei,,,,,marina,red_circle,"Ankur 4, Raj. II – , kehekäpaline raudankur, leitud Aegna saare W küljel, Punakivikari vrakist ca 130 m S pool. Asub meres omal kohal, mõõdistamata, dokumenteerimata."
2397,Ankur 6,,,ei,,,,,1847,,ankur,ankur,,,,,,,,"Kahekäpaline raudankur. Ankru kaal 249 puuda. Puust risttugi puudub. Üks käpp murdunud. Keti kinnitamiseks figuurne seekel. Üldpikkus 475 cm, käpa pikkus 235 cm.","1847 - valmistamine
sügis 1998 - avastamine, Tallinna Vanasadam",,,,,,,,,üles tõstetud,,,,,,Tallinna Vanasadama bassein nr.1 (kai nr.5 nurga sees),,,,Tallinna Vanasadam,sadam,,,,Seisukorda väga hea,1998,,Leitud Tallinna Vanasadama süvendustööde käigus 1998.a. sügisel. Asub Tallinna Vanasadamas.,,,,,"foto, videofilm",marina,red_circle,"Ankur 6, Raj. II - , kahekäpaline raudankur, leitud Tallinna Vanasadama süvendustööde käigus basseinist nr.1 (kai nr.5 nurga seest) 1998.a. sügisel. Valmistatud 1847.a., ankru kaal 249 puuda. Puust risttugi puudub. Üks käpp murdunud. Keti kinnitamiseks figuurne seekel. Üldpikkus 475 cm, käpa pikkus 235 cm. Seisukord väga hea. Asub Tallinna Vanasadamas. (foto, videofilm)"
2398,Ankur 7,,,ei,,,,,,,ankur,ankur,,,,,,,,"Kahekäpaline raudankur. Ankrul osaliselt loetav kiri. Puus risttugi ja ankruseekel puuduvad. Üldpikkus 440 cm, käpa pikkus 215 cm.","sügis 1998 - avastamine, Tallinna Vanasadam",,,,,,,,,üles tõstetud,,,,,,Tallinna Vanasadama bassein nr.1 (kai nr.5 nurga sees),,,,Tallinna Vanasadam,sadam,,,,Seisukord väga hea,1998,,Leitud Tallinna Vanasadama süvendustööde käigus 1998.a. sügisel. Asub Tallinna Vanasadamas.,,,,,"foto, videofilm",marina,red_circle,"Ankur 7, Raj. II - , kahekäpaline raudankur, leitud Tallinna Vanasadama süvendustööde käigus basseinist nr.1 (kai nr.5 nurga seest) 1998.a. sügisel. Ankrul osaliselt loetav kiri. Puus risttugi ja ankruseekel puuduvad. Üldpikkus 440 cm, käpa pikkus 215 cm. Seisukord väga hea. Asub Tallinna Vanasadamas. (foto, videofilm)"
2400,Ankur 9,,,ei,,,,,1856,19. sajand,ankur,ankur,,,,,,,,"Kahekäpaline raudankur. Puust risttugi puudub. Ankruketi kinnitamiseks pikk seekel. Üldpikkus 470 cm, käpa pikkus 230 cm, küüne pikkus 88 ja laius 77 cm.","1856 - valmistamine
sügis 1998 - avastamine, Tallinna Vanasadam",,,,,,,,,üles tõstetud,,,,,,Tallinna Vanasadama bassein nr 1 (kai nr 1 nurga sees),,,,Tallinna Vanasadam,sadam,,,,Seisukord väga hea,1998,,Leitud Tallinna Vanasadama süvendustööde käigus 1998. aasta sügisel. Asub Tallinna Vanasadamas.,,,,,foto,marina,red_circle,"Ankur 9, Raj. II - , kahekäpaline raudankur, leitud Tallinna Vanasadama süvendustööde käigus basseinist nr.1 (kai nr.5 nurga seest) 1998.a. sügisel. Valmistatud 1856.a. Puust risttugi puudub. Ankruketi kinnitamiseks pikk seekel. Üldpikkus 470 cm, käpa pikkus 230 cm, küüne pikkus 88 ja laius 77 cm. Seisukord väga hea. Asub Tallinna Vanasadamas. (foto)"
