src,tgt
"His hair was very fair, his face naturally sanguine, his skin roughened by coarse soap and blunt razor blades and the cold of the winter that had just ended.","Aveva i capelli biondi, il colorito del volto naturalmente sanguigno, la pelle resa ruvida dal sapone grezzo, dalle lamette smussate e dal freddo dell'inverno appena trascorso."
"Outside, even through the shut window-pane, the world looked cold.","Fuori il mondo appariva freddo, perfino attraverso i vetri chiusi della finestra."
"Down in the street little eddies of wind were whirling dust and torn paper into spirals, and though the sun was shining and the sky a harsh blue, there seemed to be no colour in anything, except the posters that were plastered everywhere.","Giù in strada piccoli mulinelli di vento facevano roteare spirali di polvere e di carta straccia e, sebbene splendesse il sole e il cielo fosse di un azzurro vivo, sembrava che non vi fosse colore nelle cose, se si eccettuavano i manifesti incollati per ogni dove."
The blackmoustachio'd face gazed down from every commanding corner.,Il volto dai baffi neri guardava fisso da ogni cantone.
There was one on the house-front immediately opposite.,Ve ne era uno proprio sulla facciata della casa di fronte.
"BIG BROTHER IS WATCHING YOU, the caption said, while the dark eyes looked deep into Winston's own.","IL GRANDE FRATELLO VI GUARDA, diceva la scritta, mentre gli occhi scuri guardavano in fondo a quelli di Winston."
"Down at streetlevel another poster, torn at one corner, flapped fitfully in the wind, alternately covering and uncovering the single word INGSOC.","Più giù, a livello di strada, un altro manifesto, strappato a uno degli angoli, sbatteva al vento con ritmo irregolare, coprendo e scoprendo un'unica parola: SOCING."
"In the far distance a helicopter skimmed down between the roofs, hovered for an instant like a bluebottle, and darted away again with a curving flight.","In lontananza un elicottero volava a bassa quota sui, tetti, si librava un istante come un moscone, poi sfrecciava via disegnando una curva."
"It was the police patrol, snooping into people's windows.","Era la pattuglia della polizia, che spiava nelle finestre della gente."
"The patrols did not matter, however.",Ma le pattuglie non avevano molta importanza.
Only the Thought Police mattered.,Solo la Psicopolizia contava.
Behind Winston's back the voice from the telescreen was still babbling away about pig-iron and the overfulfilment of the Ninth Three-Year Plan.,"Alle spalle di Winston, la voce proveniente dal teleschermo continuava a farfugliare qualcosa a proposito della ghisa grezza e della realizzazione più che completa del Nono Piano Triennale."
The telescreen received and transmitted simultaneously.,Il teleschermo riceveva e trasmetteva contemporaneamente.
"Any sound that Winston made, above the level of a very low whisper, would be picked up by it, moreover, so long as he remained within the field of vision which the metal plaque commanded, he could be seen as well as heard.","Se Winston avesse emesso un suono anche appena appena più forte di un bisbiglio, il teleschermo lo avrebbe captato; inoltre, finché fosse rimasto nel campo visivo controllato dalla placca metallica, avrebbe potuto essere sia visto che sentito."
There was of course no way of knowing whether you were being watched at any given moment.,"Naturalmente, non era possibile sapere se e quando si era sotto osservazione."
"How often, or on what system, the Thought Police plugged in on any individual wire was guesswork.","Con quale frequenza, o con quali sistemi, la Psicopolizia si inserisse sui cavi dei singoli apparecchi era oggetto di congettura."
It was even conceivable that they watched everybody all the time.,Si poteva persino presumere che osservasse tutti continuamente.
But at any rate they could plug in your wire whenever they wanted to.,"Comunque fosse, si poteva collegare al vostro apparecchio quando voleva."
"You had to live - did live, from habit that became instinct - in the assumption that every sound you made was overheard, and, except in darkness, every movement scrutinized.","Dovevate vivere (e di fatto vivevate, in virtù di quell'abitudine che diventa istinto) presupponendo che qualsiasi rumore da voi prodotto venisse ascoltato e qualsiasi movimento — che non fosse fatto al buio — attentamente scrutato."
Winston kept his back turned to the telescreen.,Winston dava le spalle al teleschermo.
"It was safer, though, as he well knew, even a back can be revealing.","Era più sicuro, anche se sapeva bene che perfino una schiena può essere rivelatrice."
"A kilometre away the Ministry of Truth, his place of work, towered vast and white above the grimy landscape.","A un chilometro di distanza, immenso e bianco nel sudicio panorama, si ergeva il Ministero della Verità, il luogo dove lui lavorava."
"This, he thought with a sort of vague distaste - this was London, chief city of Airstrip One, itself the third most populous of the provinces of Oceania.","E questa, pensò con un senso di vaga ripugnanza, questa era Londra, la principale città di Pista Uno, a sua volta la terza provincia più popolosa dell'Oceania."
He tried to squeeze out some childhood memory that should tell him whether London had always been quite like this.,Si sforzò di cavare dalla memoria qualche ricordo dell'infanzia che gli dicesse se Londra era sempre stata così.
"Were there always these vistas of rotting nineteenth-century houses, their sides shored up with baulks of timber, their windows patched with cardboard and their roofs with corrugated iron, their crazy garden walls sagging in all directions?","C'erano sempre state queste distese di case ottocentesche fatiscenti, con i fianchi sorretti da travi di legno, le finestre rattoppate col cartone, i tetti ricoperti da fogli di lamiera ondulata, i muri dei giardini che pericolavano, inclinandosi da tutte le parti?"
And the bombed sites where the plaster dust swirled in the air and the willow-herb straggled over the heaps of rubble; and the places where the bombs had cleared a larger patch and there had sprung up sordid colonies of wooden dwellings like chicken-houses?,"E le aree colpite dalle bombe, dove la polvere d'intonaco mulinava nell'aria e le erbacce crescevano disordinatamente sui mucchi delle macerie, e i posti dove le bombe avevano creato spazi più ampi, lasciando spuntare colonie di case di legno simili a tanti pollai?"
"But it was no use, he could not remember: nothing remained of his childhood except a series of bright-lit tableaux occurring against no background and mostly unintelligible.","Ma era inutile, non riusciva a ricordare. Della sua infanzia non restava che una serie di quadri ben distinti, ma per la gran parte incomprensibili e privi di uno sfondo contro cui stagliarsi."
"The Ministry of Truth - Minitrue, in Newspeak - was startlingly different from any other object in sight.","Il Ministero della Verità (Miniver, in neolingua) differiva in maniera sorprendente da qualsiasi altro oggetto che la vista potesse discernere."
"It was an enormous pyramidal structure of glittering white concrete, soaring up, terrace after terrace, 300 metres into the air.","Era un'enorme struttura piramidale di cemento bianco e abbagliante che s'innalzava, terrazza dopo terrazza, fino all'altezza di trecento metri."
"From where Winston stood it was just possible to read, picked out on its white face in elegant lettering, the three slogans of the Party: WAR IS PEACE, FREEDOM IS SLAVERY, IGNORANCE IS STRENGTH.","Da dove si trovava Winston era possibile leggere, ben stampati sulla bianca facciata in eleganti caratteri, i tre slogan del Partito: LA GUERRA È PACE, LA LIBERTÀ È SCHIAVITÙ, L'IGNORANZA È FORZA."
